Any,Categoria,Peli,Nominat,Guanyador,CategoriaNet,NominatNom,Sexe
2012,Best Screenplay (Millor Guió),Mientras duermes,Alberto Marini,TRUE,Millor Guió,Alberto,Home
2012,Best Screenplay (Millor Guió),Catalunya über alles!,Daniel Faraldo,FALSE,Millor Guió,Daniel,Home
2012,Best Screenplay (Millor Guió),Catalunya über alles!,Ramon Térmens,FALSE,Millor Guió,Ramon,Home
2012,Best Screenplay (Millor Guió),Chico & Rita,Ignacio Martínez de Pisón,FALSE,Millor Guió,Ignacio,Home
2012,Best Screenplay (Millor Guió),Chico & Rita,Fernando Trueba,FALSE,Millor Guió,Fernando,Home
2012,Best Screenplay (Millor Guió),Eva,Sergi Belbel,FALSE,Millor Guió,Sergi,Home
2012,Best Screenplay (Millor Guió),Eva,Cristina Clemente,FALSE,Millor Guió,Cristina,Dona
2012,Best Screenplay (Millor Guió),Eva,Martí Roca,FALSE,Millor Guió,Marti,Home
2016,Best Female Lead (Millor Protagonista Femenina),La novia,Inma Cuesta,FALSE,Millor Protagonista Femenina,Inma,Dona
2012,Best Short Film (Millor Curtmetratge),Ahora no puedo,Roser Aguilar,TRUE,Millor Curtmetratge,Roser,Dona
2012,Best Short Film (Millor Curtmetratge),Ahora no puedo,Elena Serra Corberó,TRUE,Millor Curtmetratge,Elena,Dona
2012,Best Short Film (Millor Curtmetratge),El barco pirata,Fernando Trullols,FALSE,Millor Curtmetratge,Fernando,Home
2012,Best Short Film (Millor Curtmetratge),El barco pirata,Pepe Combalia,FALSE,Millor Curtmetratge,Pepe,Home
2012,Best Short Film (Millor Curtmetratge),El somriure amagat,Ventura Durall,FALSE,Millor Curtmetratge,Ventura,Home
2012,Best Short Film (Millor Curtmetratge),El somriure amagat,Miguel Llansó,FALSE,Millor Curtmetratge,Miguel,Home
2012,Best Short Film (Millor Curtmetratge),Odysseus' Gambit,Àlex Lora,FALSE,Millor Curtmetratge,Alex,Home
2012,Best Sound (Millor So),Mientras duermes,Jordi Rossinyol Colomer,TRUE,Millor So,Jordi,Home
2012,Best Sound (Millor So),Mientras duermes,Oriol Tarragó,TRUE,Millor So,Oriol,Home
2012,Best Sound (Millor So),Mientras duermes,David Calleja,TRUE,Millor So,David,Home
2012,Best Sound (Millor So),Bruc: El desafío,Xavier Mas,FALSE,Millor So,Xavier,Home
